x-axis,1,2,3
second,Volt,Volt,Volt
-123.700E-03,+1.225000E+00,+875.000E-03,+1.099500E+00
-123.600E-03,+1.350000E+00,+1.000000E+00,+1.224500E+00
-123.500E-03,+1.506250E+00,+1.156250E+00,+1.380750E+00
-123.400E-03,+1.662500E+00,+1.250000E+00,+1.537000E+00
-123.300E-03,+1.756250E+00,+1.406250E+00,+1.662000E+00
-123.200E-03,+1.850000E+00,+1.531250E+00,+1.787000E+00
-123.100E-03,+1.975000E+00,+1.687500E+00,+1.943250E+00
-123.000E-03,+2.037500E+00,+1.781250E+00,+2.037000E+00
-122.900E-03,+2.162500E+00,+1.937500E+00,+2.162000E+00
-122.800E-03,+2.225000E+00,+2.093750E+00,+2.318250E+00
-122.700E-03,+2.287500E+00,+2.156250E+00,+2.349500E+00
-122.600E-03,+2.318750E+00,+2.281250E+00,+2.443250E+00
-122.500E-03,+2.318750E+00,+2.375000E+00,+2.474500E+00
-122.400E-03,+2.318750E+00,+2.406250E+00,+2.537000E+00
-122.300E-03,+2.350000E+00,+2.406250E+00,+2.537000E+00
-122.200E-03,+2.287500E+00,+2.468750E+00,+2.537000E+00
-122.100E-03,+2.256250E+00,+2.500000E+00,+2.505750E+00
-122.000E-03,+2.225000E+00,+2.437500E+00,+2.443250E+00
-121.900E-03,+2.131250E+00,+2.437500E+00,+2.380750E+00
-121.800E-03,+2.006250E+00,+2.375000E+00,+2.287000E+00
-121.700E-03,+1.881250E+00,+2.281250E+00,+2.162000E+00
-121.600E-03,+1.756250E+00,+2.187500E+00,+2.099500E+00
-121.500E-03,+1.693750E+00,+2.125000E+00,+1.943250E+00
-121.400E-03,+1.506250E+00,+2.000000E+00,+1.818250E+00
-121.300E-03,+1.381250E+00,+1.843750E+00,+1.662000E+00
-121.200E-03,+1.256250E+00,+1.718750E+00,+1.474500E+00
-121.100E-03,+1.162500E+00,+1.562500E+00,+1.349500E+00
-121.000E-03,+975.000E-03,+1.375000E+00,+1.193250E+00
-120.900E-03,+912.500E-03,+1.250000E+00,+1.037000E+00
-120.800E-03,+818.750E-03,+1.093750E+00,+880.750E-03
-120.700E-03,+662.500E-03,+968.750E-03,+724.500E-03
-120.600E-03,+568.750E-03,+843.750E-03,+630.750E-03
-120.500E-03,+537.500E-03,+750.000E-03,+537.000E-03
-120.400E-03,+475.000E-03,+593.750E-03,+443.250E-03
-120.300E-03,+475.000E-03,+500.000E-03,+412.000E-03
-120.200E-03,+443.750E-03,+437.500E-03,+380.750E-03
-120.100E-03,+506.250E-03,+406.250E-03,+380.750E-03
-120.000E-03,+568.750E-03,+343.750E-03,+380.750E-03
-119.900E-03,+600.000E-03,+343.750E-03,+443.250E-03
-119.800E-03,+693.750E-03,+406.250E-03,+505.750E-03
-119.700E-03,+787.500E-03,+437.500E-03,+568.250E-03
-119.600E-03,+943.750E-03,+562.500E-03,+662.000E-03
-119.500E-03,+1.068750E+00,+625.000E-03,+818.250E-03
-119.400E-03,+1.193750E+00,+718.750E-03,+943.250E-03
-119.300E-03,+1.318750E+00,+843.750E-03,+1.130750E+00
-119.200E-03,+1.475000E+00,+968.750E-03,+1.255750E+00
-119.100E-03,+1.631250E+00,+1.125000E+00,+1.443250E+00
-119.000E-03,+1.787500E+00,+1.343750E+00,+1.630750E+00
-118.900E-03,+1.912500E+00,+1.500000E+00,+1.787000E+00
-118.800E-03,+2.006250E+00,+1.656250E+00,+1.943250E+00
-118.700E-03,+2.100000E+00,+1.843750E+00,+2.130750E+00
-118.600E-03,+2.193750E+00,+1.968750E+00,+2.255750E+00
-118.500E-03,+2.287500E+00,+2.125000E+00,+2.380750E+00
-118.400E-03,+2.287500E+00,+2.218750E+00,+2.443250E+00
-118.300E-03,+2.287500E+00,+2.312500E+00,+2.568250E+00
-118.200E-03,+2.318750E+00,+2.437500E+00,+2.568250E+00
-118.100E-03,+2.318750E+00,+2.500000E+00,+2.568250E+00
